bbl,year,stmt_date,stmt_type,status,estimated_gross_income_raw,estimated_gross_income,estimated_expenses_raw,estimated_expenses,base_cap_rate_raw,base_cap_rate,overall_cap_rate_raw,overall_cap_rate,source_url
3049947501,2025,20250115,NPV,not_found_pdf,,,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3049947501&stmtDate=20250115&stmtType=NPV
1005730019,2025,20250115,NPV,ok,"$1,855,021",1855021.0,"$834,520",834520.0,6.94%,0.0694,12.565%,0.12564999999999998,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1005730019&stmtDate=20250115&stmtType=NPV
1018910001,2025,20250115,NPV,ok,"$5,989,774",5989774.0,"$2,930,392",2930392.0,6.93%,0.0693,12.555%,0.12555,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1018910001&stmtDate=20250115&stmtType=NPV
3054430001,2025,20250115,NPV,parsed_empty,,,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3054430001&stmtDate=20250115&stmtType=NPV
3038180035,2025,20250115,NPV,ok,"$218,708",218708.0,"$82,438",82438.0,7.87%,0.0787,13.495%,0.13495,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3038180035&stmtDate=20250115&stmtType=NPV
1018260022,2025,20250115,NPV,ok,"$1,162,961",1162961.0,"$530,838",530838.0,7.07%,0.0707,12.695%,0.12695,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1018260022&stmtDate=20250115&stmtType=NPV
4068010047,2025,20250115,NPV,parsed_empty,,,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=4068010047&stmtDate=20250115&stmtType=NPV
3030310012,2025,20250115,NPV,ok,"$229,405",229405.0,"$102,983",102983.0,7.18%,0.0718,12.805%,0.12805,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3030310012&stmtDate=20250115&stmtType=NPV
1021580070,2025,20250115,NPV,ok,"$324,518",324518.0,"$144,994",144994.0,9.05%,0.09050000000000001,14.67%,0.1467,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1021580070&stmtDate=20250115&stmtType=NPV
2033070040,2025,20250115,NPV,ok,"$325,856",325856.0,"$186,162",186162.0,7.81%,0.0781,13.435%,0.13435,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2033070040&stmtDate=20250115&stmtType=NPV
2030770045,2025,20250115,NPV,ok,"$260,214",260214.0,"$102,993",102993.0,7.45%,0.0745,13.07%,0.1307,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2030770045&stmtDate=20250115&stmtType=NPV
1014530008,2025,20250115,NPV,ok,"$298,610",298610.0,"$105,392",105392.0,6.92%,0.0692,12.545%,0.12545,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1014530008&stmtDate=20250115&stmtType=NPV
3073970034,2025,20250115,NPV,ok,"$2,652,639",2652639.0,"$783,960",783960.0,7.48%,0.0748,13.105%,0.13105,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3073970034&stmtDate=20250115&stmtType=NPV
2032210010,2025,20250115,NPV,ok,"$180,382",180382.0,"$115,444",115444.0,9.31%,0.0931,14.935%,0.14935,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2032210010&stmtDate=20250115&stmtType=NPV
4007390046,2025,20250115,NPV,ok,"$689,683",689683.0,"$370,539",370539.0,7.22%,0.0722,12.845%,0.12845,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=4007390046&stmtDate=20250115&stmtType=NPV
3052190004,2025,20250115,NPV,parsed_empty,,,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3052190004&stmtDate=20250115&stmtType=NPV
4033160010,2025,20250115,NPV,ok,"$2,668,256",2668256.0,"$1,254,080",1254080.0,7.42%,0.0742,13.045%,0.13045,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=4033160010&stmtDate=20250115&stmtType=NPV
1004640043,2025,20250115,NPV,parsed_empty,,,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1004640043&stmtDate=20250115&stmtType=NPV
1004751202,2025,20250115,NPV,parsed_empty,,,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1004751202&stmtDate=20250115&stmtType=NPV
