zip5,year,filer_type,n_acq,units_acq,n_sell,units_sell,net_transfers,net_units,total_units
19114,2006,Small portfolio,7,12,10,13,-3,-1,5094
19114,2006,Single-purchase,374,418,368,413,6,5,5094
19114,2007,High-filer,1,1,0,0,1,1,5101
19114,2007,Low-filer,1,1,2,3,-1,-2,5101
19114,2007,Small portfolio,6,10,8,12,-2,-2,5101
19114,2007,Single-purchase,363,388,361,385,2,3,5101
19114,2008,High-filer,1,33,1,33,0,0,5114
19114,2008,Low-filer,4,5,3,4,1,1,5114
19114,2008,Small portfolio,10,18,11,18,-1,0,5114
19114,2008,Single-purchase,313,343,313,344,0,-1,5114
19114,2009,High-filer,0,0,0,0,0,0,5143
19114,2009,Low-filer,5,7,2,2,3,5,5143
19114,2009,Small portfolio,4,8,4,8,0,0,5143
19114,2009,Single-purchase,277,297,280,302,-3,-5,5143
19114,2010,High-filer,1,2,1,2,0,0,5146
19114,2010,Low-filer,5,8,1,1,4,7,5146
19114,2010,Small portfolio,7,11,8,13,-1,-2,5146
19114,2010,Single-purchase,229,260,232,265,-3,-5,5146
19114,2011,High-filer,0,0,1,1,-1,-1,5146
19114,2011,Low-filer,11,17,5,8,6,9,5146
19114,2011,Small portfolio,6,11,12,16,-6,-5,5146
19114,2011,Single-purchase,240,261,239,264,1,-3,5146
19114,2012,High-filer,1,2,1,2,0,0,5146
19114,2012,Low-filer,2,3,8,11,-6,-8,5146
19114,2012,Small portfolio,20,30,8,12,12,18,5146
19114,2012,Single-purchase,241,272,247,282,-6,-10,5146
19114,2013,High-filer,2,3,0,0,2,3,5147
19114,2013,Low-filer,6,7,5,7,1,0,5147
19114,2013,Small portfolio,21,31,12,18,9,13,5147
19114,2013,Single-purchase,257,282,269,298,-12,-16,5147
19114,2014,High-filer,0,0,0,0,0,0,5147
19114,2014,Low-filer,10,16,6,8,4,8,5147
19114,2014,Small portfolio,12,20,14,21,-2,-1,5147
19114,2014,Single-purchase,296,376,298,383,-2,-7,5147
19114,2015,High-filer,0,0,0,0,0,0,5147
19114,2015,Low-filer,5,9,9,61,-4,-52,5147
19114,2015,Small portfolio,13,21,9,16,4,5,5147
19114,2015,Single-purchase,331,407,331,360,0,47,5147
19114,2016,High-filer,1,1,0,0,1,1,5147
19114,2016,Low-filer,2,2,4,6,-2,-4,5147
19114,2016,Small portfolio,18,31,9,14,9,17,5147
19114,2016,Single-purchase,415,795,423,809,-8,-14,5147
19114,2017,High-filer,0,0,0,0,0,0,5147
19114,2017,Low-filer,4,171,2,4,2,167,5147
19114,2017,Small portfolio,26,75,16,59,10,16,5147
19114,2017,Single-purchase,395,470,407,653,-12,-183,5147
19114,2018,High-filer,0,0,0,0,0,0,5147
19114,2018,Low-filer,5,6,3,4,2,2,5147
19114,2018,Small portfolio,24,35,11,16,13,19,5147
19114,2018,Single-purchase,400,455,415,476,-15,-21,5147
19114,2019,High-filer,1,11,2,13,-1,-2,5147
19114,2019,Low-filer,1,2,4,6,-3,-4,5147
