zip,pc1_gent,d_log_income,d_log_hp,d_crime,d_nanda,net_units_high_filer,acq_units_high_filer,net_units_low_filer,acq_units_low_filer,net_units_small_portfolio,acq_units_small_portfolio,net_units_single_purchase,acq_units_single_purchase,total_net_units,total_acq_units,high_filer_acq_share,total_units_mean
19134,-0.782885730449657,0.315169850014481,0.0363349584122457,-18.830188840362,0.248279524585752,146,846,-342,1198,689,3476,-493,18276,0,23796,0.0355521936459909,12734.2142857143
19135,-1.35064621666516,0.131642918402166,0.243267357283363,-37.5416038055441,0.148130192045675,112,200,38,380,339,1298,-489,8802,0,10680,0.0187265917602996,6464.35714285714
19135,-1.35064621666516,0.131642918402166,0.243267357283363,-37.5416038055441,0.148130192045675,112,200,38,380,339,1298,-489,8802,0,10680,0.0187265917602996,6464.35714285714
19135,-1.35064621666516,0.131642918402166,0.243267357283363,-37.5416038055441,0.148130192045675,112,200,38,380,339,1298,-489,8802,0,10680,0.0187265917602996,6464.35714285714
19135,-1.35064621666516,0.131642918402166,0.243267357283363,-37.5416038055441,0.148130192045675,112,200,38,380,339,1298,-489,8802,0,10680,0.0187265917602996,6464.35714285714
19136,-1.25259073022017,0.195929102889568,0.204003376276479,-30.6928451682562,0.141499562273699,88,165,43,270,91,915,-222,8081,0,9431,0.0174954935849857,6690.64285714286
19136,-1.25259073022017,0.195929102889568,0.204003376276479,-30.6928451682562,0.141499562273699,88,165,43,270,91,915,-222,8081,0,9431,0.0174954935849857,6690.64285714286
19136,-1.25259073022017,0.195929102889568,0.204003376276479,-30.6928451682562,0.141499562273699,88,165,43,270,91,915,-222,8081,0,9431,0.0174954935849857,6690.64285714286
19136,-1.25259073022017,0.195929102889568,0.204003376276479,-30.6928451682562,0.141499562273699,88,165,43,270,91,915,-222,8081,0,9431,0.0174954935849857,6690.64285714286
19137,-0.194773473456974,0.33740163228436,0.431477209286852,-29.896058800922,0.22314355131421,9,22,123,156,47,199,-179,2447,0,2824,0.00779036827195467,1284
19137,-0.194773473456974,0.33740163228436,0.431477209286852,-29.896058800922,0.22314355131421,9,22,123,156,47,199,-179,2447,0,2824,0.00779036827195467,1284
19137,-0.194773473456974,0.33740163228436,0.431477209286852,-29.896058800922,0.22314355131421,9,22,123,156,47,199,-179,2447,0,2824,0.00779036827195467,1284
19137,-0.194773473456974,0.33740163228436,0.431477209286852,-29.896058800922,0.22314355131421,9,22,123,156,47,199,-179,2447,0,2824,0.00779036827195467,1284
19138,-1.140871573482,0.218387412564493,0.53296444952751,-12.7828874357582,0.0845573880280632,69,346,-1,357,335,1270,-403,6734,0,8707,0.0397381417250488,4714.42857142857
19138,-1.140871573482,0.218387412564493,0.53296444952751,-12.7828874357582,0.0845573880280632,69,346,-1,357,335,1270,-403,6734,0,8707,0.0397381417250488,4714.42857142857
19138,-1.140871573482,0.218387412564493,0.53296444952751,-12.7828874357582,0.0845573880280632,69,346,-1,357,335,1270,-403,6734,0,8707,0.0397381417250488,4714.42857142857
19138,-1.140871573482,0.218387412564493,0.53296444952751,-12.7828874357582,0.0845573880280632,69,346,-1,357,335,1270,-403,6734,0,8707,0.0397381417250488,4714.42857142857
19139,-1.12620712401225,0.270063986842269,0.498630469898933,18.582760176726,0.139570389841291,318,1023,111,1158,427,2721,-856,8752,0,13654,0.0749230994580343,11857.4285714286
19139,-1.12620712401225,0.270063986842269,0.498630469898933,18.582760176726,0.139570389841291,318,1023,111,1158,427,2721,-856,8752,0,13654,0.0749230994580343,11857.4285714286
19139,-1.12620712401225,0.270063986842269,0.498630469898933,18.582760176726,0.139570389841291,318,1023,111,1158,427,2721,-856,8752,0,13654,0.0749230994580343,11857.4285714286
19139,-1.12620712401225,0.270063986842269,0.498630469898933,18.582760176726,0.139570389841291,318,1023,111,1158,427,2721,-856,8752,0,13654,0.0749230994580343,11857.4285714286
19140,-0.571793102227814,0.211298351663286,0.471324374440091,-51.647189315693,0.168622712435793,195,674,9,531,394,2493,-598,12188,0,15886,0.042427294473121,10971.7857142857
19140,-0.571793102227814,0.211298351663286,0.471324374440091,-51.647189315693,0.168622712435793,195,674,9,531,394,2493,-598,12188,0,15886,0.042427294473121,10971.7857142857
19140,-0.571793102227814,0.211298351663286,0.471324374440091,-51.647189315693,0.168622712435793,195,674,9,531,394,2493,-598,12188,0,15886,0.042427294473121,10971.7857142857
19140,-0.571793102227814,0.211298351663286,0.471324374440091,-51.647189315693,0.168622712435793,195,674,9,531,394,2493,-598,12188,0,15886,0.042427294473121,10971.7857142857
19141,-0.738547315180285,0.207652757545704,0.62244922184312,-18.461492188084,0.168059109873391,42,412,67,425,141,1028,-250,6149,0,8014,0.0514100324432244,6342.92857142857
19141,-0.738547315180285,0.207652757545704,0.62244922184312,-18.461492188084,0.168059109873391,42,412,67,425,141,1028,-250,6149,0,8014,0.0514100324432244,6342.92857142857
19141,-0.738547315180285,0.207652757545704,0.62244922184312,-18.461492188084,0.168059109873391,42,412,67,425,141,1028,-250,6149,0,8014,0.0514100324432244,6342.92857142857
19141,-0.738547315180285,0.207652757545704,0.62244922184312,-18.461492188084,0.168059109873391,42,412,67,425,141,1028,-250,6149,0,8014,0.0514100324432244,6342.92857142857
19142,-1.01699980305311,0.228564450754547,0.396230278808895,-49.631259792694,0.0484943499386104,216,560,-2,434,279,1484,-493,6709,0,9187,0.0609556982692936,5586.5
19142,-1.01699980305311,0.228564450754547,0.396230278808895,-49.631259792694,0.0484943499386104,216,560,-2,434,279,1484,-493,6709,0,9187,0.0609556982692936,5586.5
19142,-1.01699980305311,0.228564450754547,0.396230278808895,-49.631259792694,0.0484943499386104,216,560,-2,434,279,1484,-493,6709,0,9187,0.0609556982692936,5586.5
19142,-1.01699980305311,0.228564450754547,0.396230278808895,-49.631259792694,0.0484943499386104,216,560,-2,434,279,1484,-493,6709,0,9187,0.0609556982692936,5586.5
19143,0.493400822992362,0.31633914867728,0.495295613371827,-24.3143458786016,0.448154516803215,265,1125,115,1402,593,3358,-973,12826,0,18711,0.0601250601250601,14347.5
19143,0.493400822992362,0.31633914867728,0.495295613371827,-24.3143458786016,0.448154516803215,265,1125,115,1402,593,3358,-973,12826,0,18711,0.0601250601250601,14347.5
19143,0.493400822992362,0.31633914867728,0.495295613371827,-24.3143458786016,0.448154516803215,265,1125,115,1402,593,3358,-973,12826,0,18711,0.0601250601250601,14347.5
19143,0.493400822992362,0.31633914867728,0.495295613371827,-24.3143458786016,0.448154516803215,265,1125,115,1402,593,3358,-973,12826,0,18711,0.0601250601250601,14347.5
19144,-0.78290515399156,0.285320796266101,0.410097275960654,-29.333418344983,0.112854489455234,176,1827,127,1114,385,1951,-688,10779,0,15671,0.116584774424095,12141.2857142857
19144,-0.78290515399156,0.285320796266101,0.410097275960654,-29.333418344983,0.112854489455234,176,1827,127,1114,385,1951,-688,10779,0,15671,0.116584774424095,12141.2857142857
19144,-0.78290515399156,0.285320796266101,0.410097275960654,-29.333418344983,0.112854489455234,176,1827,127,1114,385,1951,-688,10779,0,15671,0.116584774424095,12141.2857142857
19144,-0.78290515399156,0.285320796266101,0.410097275960654,-29.333418344983,0.112854489455234,176,1827,127,1114,385,1951,-688,10779,0,15671,0.116584774424095,12141.2857142857
19145,0.798689917851157,0.435539983562428,0.635734556730689,-65.7217285088579,0.230523658611832,91,256,62,486,335,1806,-488,11593,0,14141,0.0181033873134856,8888.28571428572
19145,0.798689917851157,0.435539983562428,0.635734556730689,-65.7217285088579,0.230523658611832,91,256,62,486,335,1806,-488,11593,0,14141,0.0181033873134856,8888.28571428572
19145,0.798689917851157,0.435539983562428,0.635734556730689,-65.7217285088579,0.230523658611832,91,256,62,486,335,1806,-488,11593,0,14141,0.0181033873134856,8888.28571428572
19145,0.798689917851157,0.435539983562428,0.635734556730689,-65.7217285088579,0.230523658611832,91,256,62,486,335,1806,-488,11593,0,14141,0.0181033873134856,8888.28571428572
19146,3.25388575163374,0.785975753826758,0.607066405782392,-119.913130887861,0.428373598905035,77,331,288,812,386,2804,-751,18659,0,22606,0.0146421304078563,12991.7857142857
19146,3.25388575163374,0.785975753826758,0.607066405782392,-119.913130887861,0.428373598905035,77,331,288,812,386,2804,-751,18659,0,22606,0.0146421304078563,12991.7857142857
