PID,grantee_upper,owner_group_id,total_consideration,pid_in_bldg_panel,n_deeds_rtt,n_pids_rtt,n_pids_owner
452318800,ADVANCED ACQUSITION AND FUNDING INC,26497,11500,TRUE,1,1,1
452011600,WELLS FARGO BANK N A,27296,5900,TRUE,491,488,483
211296200,CUTTING EDGE REALTY LLC,27935,35000,TRUE,9,9,7
343103900,PERUTO PROPERTIES LLC,28169,39600,TRUE,43,43,43
344040100,PERUTO PROPERTIES LLC,28169,34300,TRUE,43,43,43
344374900,LA SALLE NATIONAL BANK TR,28298,16800,FALSE,2,2,2
561079500,PRIME RENTALS LLC,28602,85000,FALSE,249,249,238
871164750,PC & PG CORPORATION,29220,112000,TRUE,3,3,3
043151500,ALMAX HOMES INC,31363,17500,TRUE,69,69,63
034037000,ALMAX HOMES INC,31363,21100,TRUE,69,69,63
482092700,KD PROPERTIES INC,31637,19000,TRUE,4,4,3
622438600,MANUFACTURERS & TRADERS TRUST COMPANY TR,31917,9100,TRUE,24,24,22
463287200,WELLS FARGO BANK MINNESOTA,32145,4400,TRUE,19,19,19
301353000,IRISH ALE HOUSE INC,33716,17000,TRUE,1,1,1
622009500,EQUITY PARTNERS FUND XI LLC,34322,79500,TRUE,1,1,12
501400200,CITIFINANCIAL MORTGAGE COMPANY INC,35355,11500,FALSE,47,47,106
403322400,CITIFINANCIAL MORTGAGE COMPANY INC,35355,4900,FALSE,47,47,106
882751000,JSG LLC,36621,375000,FALSE,1,1,1
663091500,REALTY TERMS INC,37815,115000,FALSE,54,54,50
886810079,BELMONT AFFORDABLE HOUSING IV LP,39472,20000,TRUE,2,2,13
091212900,CHESTNUT HILL REAL ESTATE LP,40053,133000,TRUE,12,12,15
501066100,CITIMORTGAGE INC,40079,6900,FALSE,252,247,246
352242100,RARE RENTALS LLC,40187,48000,TRUE,68,67,59
511091400,ST MATTHEWS HOLINESS CHURCH,40365,3000,FALSE,1,1,1
882967190,DEBEARS REALTY LLC,40380,150000,FALSE,1,1,2
612235400,GINNS BOND & MORTGAGE COMPANY,40542,13800,TRUE,4,4,5
612268100,REGIONS MORTGAGE INC,40943,14200,FALSE,4,4,4
401184300,CARPENTER INVESTMENT GROUP LP,41361,29000,FALSE,15,15,24
233084900,MERIDIAN PROPERTY GROUP LLC,41384,16500,FALSE,7,7,7
882730000,SANDHU PROPERTIES INC,42499,260000,FALSE,12,12,12
