b,nhood,theta,theta_bad,units,year_built,old_bldg,new_bldg,first_year_active,exposure_years,unit_years,eta_sort,s,mbar,cbar,fbar,x,M_total,C_total,F_total,M,C,F,m_rate,c_rate,f_rate
85,174,G,0,4,1930,1,0,2011,9,36,-0.524897572859402,0.12602796494781,0.345688570566939,0.136641615228235,0.110378102830627,0.110378102830627,14,7,2,1.55555555555556,0.777777777777778,0.222222222222222,0.388888888888889,0.194444444444444,0.0555555555555556
86,273,G,0,1,1935,1,0,2011,9,9,-0.421332771534735,0.137992697907345,0.345688570566939,0.136641615228235,0.110469226049806,0.110469226049806,5,1,1,0.555555555555556,0.111111111111111,0.111111111111111,0.555555555555556,0.111111111111111,0.111111111111111
87,232,B,1,1,1910,1,0,2011,9,9,-0.730506015085425,0.333801264576614,0.319566108589032,0.142920891274807,0.254610982059787,0.254610982059787,2,1,0,0.222222222222222,0.111111111111111,0,0.222222222222222,0.111111111111111,0
88,243,G,0,1,1945,0,0,2011,9,9,-0.0021390854314059,0.196490316186671,0.228310665990588,0.0983162911935611,0.110915827170951,0.110915827170951,1,1,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0
89,280,B,1,1,1920,1,0,2011,9,9,0.615383978924867,0.671553728792189,0.318081374117744,0.12967665653102,0.260611763829536,0.260611763829536,1,1,3,0.111111111111111,0.111111111111111,0.333333333333333,0.111111111111111,0.111111111111111,0.333333333333333
90,113,B,1,1,1980,0,0,2011,9,9,0.4394788684568,0.629901456626436,0.210300680809614,0.0943719084257644,0.259864157518011,0.259864157518011,1,1,3,0.111111111111111,0.111111111111111,0.333333333333333,0.111111111111111,0.111111111111111,0.333333333333333
91,107,B,1,1,1929,1,0,2011,9,9,-0.241997015654201,0.4548593160014,0.319016488169347,0.138025313713952,0.256745742002104,0.256745742002104,6,1,3,0.666666666666667,0.111111111111111,0.333333333333333,0.666666666666667,0.111111111111111,0.333333333333333
92,151,B,1,1,1939,1,0,2011,9,9,-0.826232848493055,0.312037424013128,0.319667067140401,0.143819233308415,0.254229081170406,0.254229081170406,3,2,2,0.333333333333333,0.222222222222222,0.222222222222222,0.333333333333333,0.222222222222222,0.222222222222222
93,154,G,0,2,1925,1,0,2011,9,18,-0.250165360264471,0.159867064386618,0.345688570566939,0.136641615228235,0.110636015415568,0.110636015415568,10,3,1,1.11111111111111,0.333333333333333,0.111111111111111,0.555555555555556,0.166666666666667,0.0555555555555556
94,102,B,1,8,1925,1,0,2011,9,72,-0.326088733505366,0.433149596111512,0.319113581928207,0.138890760170075,0.256361596031471,0.256361596031471,26,13,14,2.88888888888889,1.44444444444444,1.55555555555556,0.361111111111111,0.180555555555556,0.194444444444444
95,255,G,0,1,1920,1,0,2011,9,9,0.0770001708937746,0.209450824099996,0.345688570566939,0.136641615228235,0.111015018470076,0.111015018470076,2,0,0,0.222222222222222,0,0,0.222222222222222,0,0
96,160,B,1,1,1900,1,0,2011,9,9,0.733648562284068,0.69810522203046,0.317970932158612,0.12868901649224,0.261089452120245,0.261089452120245,2,2,4,0.222222222222222,0.222222222222222,0.444444444444444,0.222222222222222,0.222222222222222,0.444444444444444
97,155,G,0,1,1940,1,0,2011,9,9,0.0157444062744619,0.199364437987439,0.345688570566939,0.136641615228235,0.110937816179616,0.110937816179616,4,3,1,0.444444444444444,0.333333333333333,0.111111111111111,0.444444444444444,0.333333333333333,0.111111111111111
98,5,G,0,1,1920,1,0,2011,9,9,0.51496266994557,0.292376461178969,0.345688570566939,0.136641615228235,0.111651780290835,0.111651780290835,5,2,2,0.555555555555556,0.222222222222222,0.222222222222222,0.555555555555556,0.222222222222222,0.222222222222222
99,272,B,1,1,1930,1,0,2011,9,9,1.59304356360813,0.84878818380864,0.317360578775161,0.123224672745708,0.263817023263544,0.263817023263544,3,2,3,0.333333333333333,0.222222222222222,0.333333333333333,0.333333333333333,0.222222222222222,0.333333333333333
100,280,G,0,2,1979,0,0,2011,9,18,0.615383978924867,0.313937020561739,0.228310665990588,0.0983162911935611,0.111817934955233,0.111817934955233,2,1,2,0.222222222222222,0.111111111111111,0.222222222222222,0.111111111111111,0.0555555555555556,0.111111111111111
101,288,G,0,1,1905,1,0,2011,9,9,-0.689462206042359,0.108861520309388,0.345688570566939,0.136641615228235,0.110247494727154,0.110247494727154,5,1,1,0.555555555555556,0.111111111111111,0.111111111111111,0.555555555555556,0.111111111111111,0.111111111111111
102,277,G,0,1,1925,1,0,2011,9,9,-0.341569153375386,0.147852650902614,0.345688570566939,0.136641615228235,0.110544375835752,0.110544375835752,2,1,1,0.222222222222222,0.111111111111111,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111
103,55,B,1,1,1925,1,0,2011,9,9,0.879034877569272,0.72894383273256,0.31784375938959,0.127551334632469,0.261645369164477,0.261645369164477,2,1,0,0.222222222222222,0.111111111111111,0,0.222222222222222,0.111111111111111,0
