scenario,c_source,bC_M_note,m0,bM_C,mean_m_rate_cf,zero_share_m_cf,beta_maint_on_c_rate_cf
fixed_c_rate,c_rate,current_equilibrium_panel,0.3,1.5,0.326347984444392,0,0.925321603813437
fixed_c_rate,c_rate,current_equilibrium_panel,0.3,1.75,0.342681222971094,0,1.06726694084716
fixed_c_rate,c_rate,current_equilibrium_panel,0.3,2,0.361547521068512,0,1.20738607938914
fixed_c_rate,c_rate,current_equilibrium_panel,0.3,2.25,0.383486875308321,0,1.34621411103876
fixed_c_rate,c_rate,current_equilibrium_panel,0.3,2.5,0.409175287191978,0,1.48414240813305
fixed_c_rate,c_rate,current_equilibrium_panel,0.3,2.75,0.439463227651888,0,1.62139551170102
fixed_c_rate,c_rate,current_equilibrium_panel,0.3,3,0.475425995595221,0,1.75803192986916
fixed_cbar,cbar,current_expected_panel,0.02,-0.5,0.0163652956544895,0,0.00302947659961658
fixed_cbar,cbar,current_expected_panel,0.02,-0.25,0.0169151163091214,0,0.00302368967648049
fixed_cbar,cbar,current_expected_panel,0.02,0,0.0174834572058506,0,0.00301796607720028
fixed_cbar,cbar,current_expected_panel,0.02,0.25,0.0180709439443779,0,0.00301230635640161
fixed_cbar,cbar,current_expected_panel,0.02,0.5,0.0186782233211201,0,0.00300671107094422
fixed_cbar,cbar,current_expected_panel,0.02,0.75,0.0193059640497508,0,0.00300118077991418
fixed_cbar,cbar,current_expected_panel,0.02,1,0.0199548575063292,0,0.00299571604462144
fixed_cbar,cbar,current_expected_panel,0.02,1.25,0.0206256184998381,0,0.00299031742859386
fixed_cbar,cbar,current_expected_panel,0.02,1.5,0.0213189860690263,0,0.00298498549757359
fixed_cbar,cbar,current_expected_panel,0.02,1.75,0.0220357243064397,0,0.00297972081951262
fixed_cbar,cbar,current_expected_panel,0.02,2,0.0227766232105724,0,0.00297452396456787
fixed_cbar,cbar,current_expected_panel,0.02,2.25,0.0235424995670937,0,0.00296939550509731
fixed_cbar,cbar,current_expected_panel,0.02,2.5,0.0243341978601895,0,0.00296433601565533
fixed_cbar,cbar,current_expected_panel,0.02,2.75,0.0251525912149829,0,0.0029593460729877
fixed_cbar,cbar,current_expected_panel,0.02,3,0.0259985823721698,0,0.00295442625602685
fixed_cbar,cbar,current_expected_panel,0.04,-0.5,0.0327305913089789,0,0.00302947659949554
fixed_cbar,cbar,current_expected_panel,0.04,-0.25,0.0338302326182428,0,0.00302368967641325
fixed_cbar,cbar,current_expected_panel,0.04,0,0.0349669144117012,0,0.00301796607716319
fixed_cbar,cbar,current_expected_panel,0.04,0.25,0.0361418878887557,0,0.00301230635638161
fixed_cbar,cbar,current_expected_panel,0.04,0.5,0.0373564466422401,0,0.00300671107853805
fixed_cbar,cbar,current_expected_panel,0.04,0.75,0.0386119280995015,0,0.0030011807847026
fixed_cbar,cbar,current_expected_panel,0.04,1,0.0399097150126584,0,0.00299571604761844
fixed_cbar,cbar,current_expected_panel,0.04,1.25,0.0412512369996762,0,0.00299031743045541
fixed_cbar,cbar,current_expected_panel,0.04,1.5,0.0426379721380526,0,0.0029849854987213
fixed_cbar,cbar,current_expected_panel,0.04,1.75,0.0440714486128794,0,0.00297972082021471
fixed_cbar,cbar,current_expected_panel,0.04,2,0.0455532464211449,0,0.00297452396499419
fixed_cbar,cbar,current_expected_panel,0.04,2.25,0.0470849991341875,0,0.0029693955053544
fixed_cbar,cbar,current_expected_panel,0.04,2.5,0.048668395720379,0,0.002964336015809
fixed_cbar,cbar,current_expected_panel,0.04,2.75,0.0503051824299658,0,0.0029593460730789
fixed_cbar,cbar,current_expected_panel,0.04,3,0.0519971647443395,0,0.00295442625608064
fixed_cbar,cbar,current_expected_panel,0.08,-0.5,0.0654611826179579,0,0.00302947659949684
fixed_cbar,cbar,current_expected_panel,0.08,-0.25,0.0676604652364855,0,0.00302368967641398
fixed_cbar,cbar,current_expected_panel,0.08,0,0.0699338288234023,0,0.00301796607716353
fixed_cbar,cbar,current_expected_panel,0.08,0.25,0.0722837757775114,0,0.00301230635638177
fixed_cbar,cbar,current_expected_panel,0.08,0.5,0.0747128932844802,0,0.00300671107093332
fixed_cbar,cbar,current_expected_panel,0.08,0.75,0.0772238561990031,0,0.00300118077990847
fixed_cbar,cbar,current_expected_panel,0.08,1,0.0798194300253168,0,0.00299571604461841
fixed_cbar,cbar,current_expected_panel,0.08,1.25,0.0825024739993524,0,0.00299031742859238
fixed_cbar,cbar,current_expected_panel,0.08,1.5,0.0852759442761051,0,0.00298498549757285
fixed_cbar,cbar,current_expected_panel,0.08,1.75,0.0881428972257589,0,0.00297972081951226
fixed_cbar,cbar,current_expected_panel,0.08,2,0.0911064928422898,0,0.00297452396456764
fixed_cbar,cbar,current_expected_panel,0.08,2.25,0.0941699982683749,0,0.00296939550509725
fixed_cbar,cbar,current_expected_panel,0.08,2.5,0.097336791440758,0,0.00296433601565527
fixed_cbar,cbar,current_expected_panel,0.08,2.75,0.100610364859932,0,0.00295934607298767
fixed_cbar,cbar,current_expected_panel,0.08,3,0.103994329488679,0,0.00295442625602687
fixed_cbar,cbar,current_expected_panel,0.12,-0.5,0.0981917739269369,0,0.00302947659949553
fixed_cbar,cbar,current_expected_panel,0.12,-0.25,0.101490697854735,0,0.00302368967641329
fixed_cbar,cbar,current_expected_panel,0.12,0,0.104900743235098,0,0.00301796607716321
fixed_cbar,cbar,current_expected_panel,0.12,0.25,0.108425663666257,0,0.00301230635638161
fixed_cbar,cbar,current_expected_panel,0.12,0.5,0.112069339926714,0,0.00300671107093333
fixed_cbar,cbar,current_expected_panel,0.12,0.75,0.115835784298509,0,0.00300118077990848
fixed_cbar,cbar,current_expected_panel,0.12,1,0.119729145037972,0,0.00299571604461842
fixed_cbar,cbar,current_expected_panel,0.12,1.25,0.123753710999022,0,0.00299031742859231
fixed_cbar,cbar,current_expected_panel,0.12,1.5,0.127913916414158,0,0.00298498549757294
fixed_cbar,cbar,current_expected_panel,0.12,1.75,0.13221434583864,0,0.00297972081951223
fixed_cbar,cbar,current_expected_panel,0.12,2,0.136659739263426,0,0.00297452396772727
fixed_cbar,cbar,current_expected_panel,0.12,2.25,0.141254997402552,0,0.00296939550724019
fixed_cbar,cbar,current_expected_panel,0.12,2.5,0.146005187161133,0,0.0029643360171025
fixed_cbar,cbar,current_expected_panel,0.12,2.75,0.150915547289904,0,0.00295934607396077
fixed_cbar,cbar,current_expected_panel,0.12,3,0.155991494233005,0,0.0029544262566783
fixed_cbar,cbar,current_expected_panel,0.167162610118016,-0.5,0.13678327684787,0,0.00302947659949549
