apt_id,place_id,place_name,formatted_address,rating,user_ratings_total,url,types,text_search_query
8875 ridge ave,ChIJMb730Te5xokR-SSF3JMK3vg,Colonial Village,"8875 Ridge Ave, Philadelphia, PA 19128, USA",4.4,12,https://maps.google.com/?cid=17932782396412077305,establishment|point_of_interest,"8875 ridge ave, philadelphia, PA 19128 apartments"
7901 henry ave,ChIJh0OyPyS5xokRH_tMVUJMyig,Henry on the Park,"7901 Henry Ave, Philadelphia, PA 19128, USA",3.6,448,https://maps.google.com/?cid=2939245554595330847,establishment|point_of_interest,"7901 henry ave, philadelphia, PA 19128 apartments"
8201 henry ave,ChIJiXfalDq5xokRTZBJ9OzxPQ8,Summit Park Communities,"8201 Henry Ave, Philadelphia, PA 19128, USA",3.6,140,https://maps.google.com/?cid=1098299884161306701,establishment|point_of_interest,"8201 henry ave, philadelphia, PA 19128 apartments"
300 parker ave,ChIJk5pbNEe5xokRCW4RR51YAVw,Parker Avenue Apartments,"300 Parker Ave, Philadelphia, PA 19128, USA",3.1,11,https://maps.google.com/?cid=6629677558991515145,establishment|point_of_interest,"300 parker ave, philadelphia, PA 19128 apartments"
414 fountain st,ChIJ49_GJlK5xokR8zU0BHQVqBg,The Wright,"404 Fountain St, Philadelphia, PA 19128, USA",4.2,19,https://maps.google.com/?cid=1776693641028580851,establishment|point_of_interest,"414 fountain st, philadelphia, PA 19128 apartments"
7950 henry ave,ChIJVy27WiS5xokRRzeQlDf3DFQ,Valley High Apartments,"7950 Henry Ave #28A, Philadelphia, PA 19128, USA",3.9,18,https://maps.google.com/?cid=6056487416994215751,establishment|point_of_interest,"7950 henry ave, philadelphia, PA 19128 apartments"
7015 ridge ave,ChIJiaExld64xokR4QAdl1iKDFo,Roxborough Village Townhouses,"7015 Ridge Ave, Philadelphia, PA 19128, USA",3.5,11,https://maps.google.com/?cid=6488713276231057633,establishment|point_of_interest,"7015 ridge ave, philadelphia, PA 19128 apartments"
9001 ridge ave,ChIJMb730Te5xokR-SSF3JMK3vg,Colonial Village,"8875 Ridge Ave, Philadelphia, PA 19128, USA",4.4,12,https://maps.google.com/?cid=17932782396412077305,establishment|point_of_interest,"9001 ridge ave, philadelphia, PA 19128 apartments"
182 gay st,ChIJ2UtmHeu4xokRFQ1edrgCheA,Nob Hill Condominiums,"182 Gay St, Philadelphia, PA 19128, USA",4.2,17,https://maps.google.com/?cid=16178340227681488149,establishment|point_of_interest,"182 gay st, philadelphia, PA 19128 apartments"
100 parker ave,ChIJk5pbNEe5xokRCW4RR51YAVw,Parker Avenue Apartments,"300 Parker Ave, Philadelphia, PA 19128, USA",3.1,11,https://maps.google.com/?cid=6629677558991515145,establishment|point_of_interest,"100 parker ave, philadelphia, PA 19128 apartments"
