building_type,num_units_bin,high_filing_longrun,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_black,mean_case_p_white
OTHER,51+,low_or_mid_filing,1615,0.081733746130031,0.0582043343653251,0.860061919504644,0.157466766330296,0.76164988634753
OTHER,51+,high_filing,176,0,0,1,0.572206270852005,0.407258946614954
OTHER,51+,missing,39,0.153846153846154,0.0512820512820513,0.794871794871795,0.23679522378593,0.500457255966933
OTHER,6-20,low_or_mid_filing,312,0.0352564102564103,0.144230769230769,0.82051282051282,0.460764963338974,0.422379264284526
OTHER,6-20,high_filing,262,0.00381679389312977,0,0.99618320610687,0.742296669003125,0.218074071837208
OTHER,6-20,missing,26,0,0,1,0.713437468692305,0.246220047391358
ROW,1,low_or_mid_filing,40405,0.0897166192302933,0.0910778369013736,0.819205543868333,0.635376688886726,0.269079483524781
ROW,1,high_filing,57658,0.0866835478164348,0.0961878663845433,0.817128585799022,0.659190337287531,0.255249413894024
ROW,1,missing,36,0.0555555555555556,0.0277777777777778,0.916666666666667,0.821001762447992,0.160686947744673
ROW,2-5,low_or_mid_filing,6408,0.105805243445693,0.116416978776529,0.777777777777778,0.575841532821366,0.323538213756555
ROW,2-5,high_filing,3725,0.13503355704698,0.147651006711409,0.717315436241611,0.631586915861197,0.283178217424182
ROW,2-5,missing,110,0.0363636363636364,0.0727272727272727,0.890909090909091,0.663271593385126,0.274773352028281
ROW,21-50,low_or_mid_filing,92,0.293478260869565,0.304347826086957,0.402173913043478,0.190904062679189,0.780509660140345
ROW,51+,low_or_mid_filing,36,0,0,1,0.778607081419256,0.169068038255722
ROW,6-20,low_or_mid_filing,240,0.0791666666666667,0.0833333333333333,0.8375,0.54118886534237,0.367035826056332
ROW,6-20,high_filing,57,0.087719298245614,0.0526315789473684,0.859649122807018,0.919112484462178,0.078025021281211
SMALL_MULTI_2_4,1,low_or_mid_filing,1467,0.112474437627812,0.135650988411725,0.751874573960464,0.583449713313092,0.324253727185821
SMALL_MULTI_2_4,1,high_filing,2808,0.13497150997151,0.11965811965812,0.74537037037037,0.584078879297836,0.335476177084351
SMALL_MULTI_2_4,1,missing,1,0,0,1,0.000756781244310948,0.999236582636865
SMALL_MULTI_2_4,2-5,low_or_mid_filing,15169,0.104950886676775,0.110092952732547,0.784956160590678,0.524395783415066,0.407849354761008
SMALL_MULTI_2_4,2-5,high_filing,14595,0.10435080507023,0.11634121274409,0.77930798218568,0.598562688266943,0.341222766799413
SMALL_MULTI_2_4,2-5,missing,4,0.25,0.25,0.5,0.894677569715746,0.105314081130379
SMALL_MULTI_2_4,21-50,low_or_mid_filing,91,0.010989010989011,0,0.989010989010989,0.476430964116513,0.469181258961066
SMALL_MULTI_2_4,21-50,high_filing,120,0,0,1,0.816593355515969,0.183265390905215
SMALL_MULTI_2_4,51+,low_or_mid_filing,18,0.111111111111111,0.0555555555555556,0.833333333333333,0.460818343541752,0.374803283697753
SMALL_MULTI_2_4,6-20,low_or_mid_filing,232,0.103448275862069,0.0991379310344828,0.797413793103448,0.474841918764082,0.444209120423621
SMALL_MULTI_2_4,6-20,high_filing,60,0.0666666666666667,0.116666666666667,0.816666666666667,0.80932632896492,0.183763952046464
TWIN,1,low_or_mid_filing,3640,0.10467032967033,0.116758241758242,0.778571428571429,0.519449456332167,0.408602537746651
TWIN,1,high_filing,5014,0.0967291583566015,0.107897885919426,0.795372955723973,0.550451268925453,0.387526348198261
TWIN,2-5,low_or_mid_filing,4963,0.11303646987709,0.116260326415475,0.770703203707435,0.638144275191121,0.309957939590195
TWIN,2-5,high_filing,5593,0.122653316645807,0.12533524047917,0.752011442875022,0.691245538185037,0.269619999534609
TWIN,2-5,missing,1,0,0,1,0.999983506767402,0
TWIN,21-50,low_or_mid_filing,16,0,0.1875,0.8125,0.601253697345965,0.324386275338295
TWIN,51+,low_or_mid_filing,2,0,0.5,0.5,1,0
TWIN,6-20,low_or_mid_filing,259,0.131274131274131,0.138996138996139,0.72972972972973,0.475989923049664,0.454611062581638
TWIN,6-20,high_filing,142,0.0774647887323944,0.183098591549296,0.73943661971831,0.648003436641722,0.325025914524604
