term,estimate,std_error,t_value,p_value,sample,outcome,fe,block,conf_low,conf_high
building_type::MIDRISE_MULTI:tc_female_c,0.0100116207193163,0.0134847574148734,0.742439808985641,0.458301054865805,pre,complaint,tract,suppression,-0.0164185038138356,0.0364417452524682
building_type::OTHER:tc_female_c,-0.00086311625461594,0.017531225417095,-0.0492330817772898,0.960760625068263,pre,complaint,tract,suppression,-0.0352243180721222,0.0334980855628903
building_type::SMALL_MULTI_2_4:tc_female_c,-0.00153237758477103,0.00302294700911714,-0.506915132865185,0.612522150905674,pre,complaint,tract,suppression,-0.00745735372264064,0.00439259855309857
building_type::TWIN:tc_female_c,0.00211136678349006,0.00302702483117501,0.697505604098557,0.485932930370012,pre,complaint,tract,suppression,-0.00382160188561296,0.00804433545259308
tc_black_c,0.000958753397980955,0.00178063528614211,0.538433336372983,0.590378528375256,pre,complaint,bg,suppression,-0.00253129176285758,0.00444879855881949
tc_female_c,0.000888126758376509,0.00134819331209353,0.658753274037084,0.510181546162636,pre,complaint,bg,suppression,-0.0017543321333268,0.00353058565007982
tc_black_female_c,-0.00221713197230337,0.00209163519686684,-1.05999936108577,0.289359804410037,pre,complaint,bg,suppression,-0.00631673695816238,0.00188247301355565
tc_cov_c,0.00230479555597386,0.00159901745601069,1.44138236096808,0.149739556093137,pre,complaint,bg,suppression,-0.000829278657807097,0.00543886976975481
tenant_comp_missing,0.00304705214589175,0.000795538719869653,3.83017453429671,0.000134724866600487,pre,complaint,bg,suppression,0.00148779625494723,0.00460630803683627
building_type::COMMERCIAL:tc_black_c,-0.0490975001057412,0.0284140782964042,-1.7279286554213,0.0842602287330332,pre,complaint,bg,suppression,-0.104789093566693,0.006594093355211
building_type::DETACHED:tc_black_c,0.0106151647479436,0.00766852839887822,1.38425056227169,0.166541054533758,pre,complaint,bg,suppression,-0.00441515091385772,0.0256454804097449
building_type::HIGHRISE_MULTI:tc_black_c,-0.148841592659026,0.06390521739914,-2.32909923033967,0.0200203893642956,pre,complaint,bg,suppression,-0.274095818761341,-0.0235873665567121
building_type::LOWRISE_MULTI:tc_black_c,0.0169026425233157,0.00964096696502266,1.75321029359797,0.0798231637692815,pre,complaint,bg,suppression,-0.00199365272812871,0.0357989377747601
building_type::MIDRISE_MULTI:tc_black_c,0.0154980794544493,0.0367698843064755,0.421488393198996,0.673474542325848,pre,complaint,bg,suppression,-0.0565708937862426,0.0875670526951413
building_type::OTHER:tc_black_c,-0.0101679628797603,0.0091678609793659,-1.10908781259285,0.267616199739339,pre,complaint,bg,suppression,-0.0281369703993174,0.0078010446397969
building_type::SMALL_MULTI_2_4:tc_black_c,-0.00222375523050578,0.00293992401648458,-0.756398879031181,0.449559668433367,pre,complaint,bg,suppression,-0.00798600630281556,0.00353849584180399
building_type::TWIN:tc_black_c,-0.00213223133492992,0.00343471046907272,-0.620789249670166,0.534857074766379,pre,complaint,bg,suppression,-0.00886426385431245,0.00459980118445261
building_type::COMMERCIAL:tc_female_c,0.0185931524895962,0.0160559762912077,1.15802067419456,0.247087762872954,pre,complaint,bg,suppression,-0.0128765610411708,0.0500628660203632
building_type::DETACHED:tc_female_c,-0.000331517358952503,0.00518041155606776,-0.063994405727128,0.94898541992499,pre,complaint,bg,suppression,-0.0104851240088453,0.00982208929094031
building_type::HIGHRISE_MULTI:tc_female_c,-0.424400499471362,0.345846548727321,-1.22713527439586,0.220014259840917,pre,complaint,bg,suppression,-1.10225973497691,0.253458736034187
building_type::LOWRISE_MULTI:tc_female_c,-0.00633360000254063,0.00941339155405139,-0.672828700067697,0.501186797292419,pre,complaint,bg,suppression,-0.0247838474484814,0.0121166474434001
building_type::MIDRISE_MULTI:tc_female_c,0.012861510852875,0.0146855214949146,0.875795310185527,0.38131791305693,pre,complaint,bg,suppression,-0.0159221112771577,0.0416451329829076
building_type::OTHER:tc_female_c,0.000642260283616529,0.0185314055386543,0.0346579368886429,0.972358309715952,pre,complaint,bg,suppression,-0.035679294572146,0.036963815139379
building_type::SMALL_MULTI_2_4:tc_female_c,-0.00255028406869647,0.00305939873586527,-0.833589959621656,0.404679228642257,pre,complaint,bg,suppression,-0.0085467055909924,0.00344613745359945
