building_type,num_units_bin,high_filing_longrun,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_female,mean_case_p_male
MIDRISE_MULTI,51+,missing,59,0.0338983050847458,0.0169491525423729,0.949152542372881,0.569411016949153,0.430588983050847
MIDRISE_MULTI,6-20,low_or_mid_filing,434,0.126728110599078,0.147465437788018,0.725806451612903,0.452439065174457,0.547560934825543
MIDRISE_MULTI,6-20,high_filing,172,0.145348837209302,0.0581395348837209,0.796511627906977,0.562899224806202,0.437100775193798
MIDRISE_MULTI,6-20,missing,22,0.0454545454545455,0.0454545454545455,0.909090909090909,0.457513636363636,0.542486363636364
OTHER,1,low_or_mid_filing,514,0.0700389105058366,0.0642023346303502,0.865758754863813,0.610773800259403,0.389226199740597
OTHER,1,high_filing,618,0.0533980582524272,0.0614886731391586,0.885113268608414,0.622781917475728,0.377218082524272
OTHER,1,missing,1,0,0,1,0.0022,0.9978
OTHER,2-5,low_or_mid_filing,412,0.0509708737864078,0.0776699029126214,0.871359223300971,0.49993699433657,0.50006300566343
OTHER,2-5,high_filing,129,0.062015503875969,0.0930232558139535,0.844961240310077,0.560644315245478,0.439355684754522
OTHER,2-5,missing,5,0,0.2,0.8,0.59812,0.40188
OTHER,21-50,low_or_mid_filing,267,0.0749063670411985,0.0823970037453183,0.842696629213483,0.471733520599251,0.528266479400749
OTHER,21-50,high_filing,174,0.00574712643678161,0.0114942528735632,0.982758620689655,0.590471264367816,0.409528735632184
OTHER,21-50,missing,1,0,0,1,0.0286,0.9714
OTHER,51+,low_or_mid_filing,1522,0.0854139290407359,0.0538764783180026,0.860709592641262,0.47224799934297,0.52775200065703
OTHER,51+,high_filing,159,0,0,1,0.68429072327044,0.31570927672956
OTHER,51+,missing,33,0.181818181818182,0.0606060606060606,0.757575757575758,0.42070303030303,0.57929696969697
OTHER,6-20,low_or_mid_filing,279,0.0681003584229391,0.129032258064516,0.802867383512545,0.493260812425329,0.506739187574671
OTHER,6-20,high_filing,233,0.00429184549356223,0,0.995708154506438,0.830111587982833,0.169888412017167
OTHER,6-20,missing,19,0,0,1,0.741265789473684,0.258734210526316
ROW,1,low_or_mid_filing,37655,0.107157084052583,0.0857256672420661,0.807117248705351,0.705957859783122,0.294042140216877
ROW,1,high_filing,53689,0.101659557823763,0.0917506379332824,0.806589804242955,0.684165639640646,0.315834360359353
ROW,1,missing,29,0.0344827586206897,0,0.96551724137931,0.38155,0.61845
ROW,2-5,low_or_mid_filing,5946,0.124789774638412,0.110326269761184,0.764883955600404,0.610252761119921,0.38974723888008
ROW,2-5,high_filing,3451,0.14981164879745,0.143726456099681,0.706461895102869,0.600628422196465,0.399371577803535
ROW,2-5,missing,103,0.0485436893203884,0.0679611650485437,0.883495145631068,0.616730097087379,0.383269902912621
ROW,21-50,low_or_mid_filing,85,0.294117647058824,0.305882352941177,0.4,0.860361764705882,0.139638235294118
ROW,51+,low_or_mid_filing,33,0.0303030303030303,0,0.96969696969697,0.46917803030303,0.53082196969697
ROW,6-20,low_or_mid_filing,225,0.0933333333333333,0.0755555555555556,0.831111111111111,0.480262288888889,0.519737711111111
ROW,6-20,high_filing,54,0.0555555555555556,0.0555555555555556,0.888888888888889,0.614563888888889,0.385436111111111
SMALL_MULTI_2_4,1,low_or_mid_filing,1371,0.13056163384391,0.13056163384391,0.738876732312181,0.579534697040742,0.420465302959258
SMALL_MULTI_2_4,1,high_filing,2615,0.150286806883365,0.115487571701721,0.734225621414914,0.58152993499044,0.41847006500956
SMALL_MULTI_2_4,1,missing,1,0,0,1,0.996,0.004
SMALL_MULTI_2_4,2-5,low_or_mid_filing,14183,0.122188535570754,0.104843827116971,0.772967637312275,0.601811455887274,0.398188544112726
SMALL_MULTI_2_4,2-5,high_filing,13586,0.121154129250699,0.110628588252613,0.768217282496688,0.626064344239168,0.373935655760832
SMALL_MULTI_2_4,2-5,missing,3,0.333333333333333,0.333333333333333,0.333333333333333,0.667533333333333,0.332466666666667
SMALL_MULTI_2_4,21-50,low_or_mid_filing,85,0.0117647058823529,0,0.988235294117647,0.705698235294118,0.294301764705882
SMALL_MULTI_2_4,21-50,high_filing,110,0,0,1,0.793955454545455,0.206044545454545
SMALL_MULTI_2_4,51+,low_or_mid_filing,18,0.111111111111111,0.0555555555555556,0.833333333333333,0.507325,0.492675
SMALL_MULTI_2_4,6-20,low_or_mid_filing,212,0.132075471698113,0.0990566037735849,0.768867924528302,0.519349410377359,0.480650589622642
SMALL_MULTI_2_4,6-20,high_filing,57,0.0701754385964912,0.087719298245614,0.842105263157895,0.50359298245614,0.49640701754386
TWIN,1,low_or_mid_filing,3389,0.139274122159929,0.104750663912659,0.755975213927412,0.634174008908373,0.365825991091627
TWIN,1,high_filing,4696,0.116695059625213,0.104557069846678,0.778747870528109,0.629976479628052,0.370023520371948
TWIN,2-5,low_or_mid_filing,4617,0.128654970760234,0.10916179337232,0.762183235867446,0.602611864228472,0.397388135771528
TWIN,2-5,high_filing,5230,0.129445506692161,0.123900573613767,0.746653919694073,0.6058770347355,0.3941229652645
TWIN,2-5,missing,1,0,0,1,0.0157,0.9843
TWIN,21-50,low_or_mid_filing,15,0,0.2,0.8,0.569556666666667,0.430443333333333
TWIN,51+,low_or_mid_filing,2,0,0.5,0.5,0.5007,0.4993
TWIN,6-20,low_or_mid_filing,235,0.153191489361702,0.131914893617021,0.714893617021277,0.494274893617021,0.505725106382979
TWIN,6-20,high_filing,138,0.101449275362319,0.188405797101449,0.710144927536232,0.535063405797101,0.464936594202899
