term,estimate,std_error,t_value,p_value,timing,sample,stem,model,conf_low,conf_high,stem_label,sample_label
lag_complaint_1,0.0119415063358225,0.000740165354363086,16.133565649122,1.71200958928742e-58,-1,pre_lo_black,complaint,distributed_lag,0.0104907822412709,0.0133922304303742,Full,Pre-COVID: pct_black < mean cutoff (0.379)
filed_complaint,0.0341701892111084,0.000889611665355346,38.4102306004042,1.11253692925403e-308,0,pre_lo_black,complaint,distributed_lag,0.0324265503470119,0.0359138280752049,Full,Pre-COVID: pct_black < mean cutoff (0.379)
lead_complaint_1,0.0107278445036406,0.000726151341221207,14.7735656393597,2.40115204854685e-49,1,pre_lo_black,complaint,distributed_lag,0.009304587874847,0.0121511011324341,Full,Pre-COVID: pct_black < mean cutoff (0.379)
lead_complaint_2,0.0022895148227413,0.000644750823379089,3.55100721041677,0.000383908979503714,2,pre_lo_black,complaint,distributed_lag,0.00102580320891828,0.00355322643656431,Full,Pre-COVID: pct_black < mean cutoff (0.379)
lead_complaint_3,0.00117899922378834,0.000650432688649983,1.81263833193167,0.0698901576856041,3,pre_lo_black,complaint,distributed_lag,-9.58488459656319e-05,0.0024538472935423,Full,Pre-COVID: pct_black < mean cutoff (0.379)
lead_complaint_4,0.00099322011990063,0.000650314506568695,1.5272919639164,0.126691102903156,4,pre_lo_black,complaint,distributed_lag,-0.000281396312974012,0.00226783655277527,Full,Pre-COVID: pct_black < mean cutoff (0.379)
lag_non_severe_4,0.000334171708808546,0.000727856019877594,0.459117874527912,0.646150365792329,-4,pre_lo_black,non_severe,distributed_lag,-0.00109242609015154,0.00176076950776863,Non-Severe,Pre-COVID: pct_black < mean cutoff (0.379)
lag_non_severe_3,-1.48379824322126e-05,0.000714962431256806,-0.0207535134484332,0.983442315670992,-3,pre_lo_black,non_severe,distributed_lag,-0.00141616434769555,0.00138648838283113,Non-Severe,Pre-COVID: pct_black < mean cutoff (0.379)
lag_non_severe_2,0.000691500556478504,0.000708977724958845,0.975348776322479,0.329389279521819,-2,pre_lo_black,non_severe,distributed_lag,-0.000698095784440832,0.00208109689739784,Non-Severe,Pre-COVID: pct_black < mean cutoff (0.379)
lag_non_severe_1,0.00426763837439442,0.00076081168907991,5.60932282672405,2.03572303970125e-08,-1,pre_lo_black,non_severe,distributed_lag,0.0027764474637978,0.00575882928499105,Non-Severe,Pre-COVID: pct_black < mean cutoff (0.379)
filed_non_severe,0.00966515687462164,0.000813182509396677,11.8855936557127,1.4677838543675e-32,0,pre_lo_black,non_severe,distributed_lag,0.00807131915620415,0.0112589945930391,Non-Severe,Pre-COVID: pct_black < mean cutoff (0.379)
lead_non_severe_1,0.00776114686431085,0.000793029456007839,9.78670691928767,1.30977567780574e-22,1,pre_lo_black,non_severe,distributed_lag,0.00620680913053549,0.00931548459808622,Non-Severe,Pre-COVID: pct_black < mean cutoff (0.379)
lead_non_severe_2,0.00353092940086278,0.000741733623088207,4.76037392799016,1.93462842569019e-06,2,pre_lo_black,non_severe,distributed_lag,0.00207713149960989,0.00498472730211567,Non-Severe,Pre-COVID: pct_black < mean cutoff (0.379)
lead_non_severe_3,0.00175013162813023,0.000739737203815088,2.36588293667559,0.0179887349065289,3,pre_lo_black,non_severe,distributed_lag,0.000300246708652661,0.00320001654760781,Non-Severe,Pre-COVID: pct_black < mean cutoff (0.379)
lead_non_severe_4,0.000900306335065985,0.000737141227186984,1.22134850400602,0.221956532165733,4,pre_lo_black,non_severe,distributed_lag,-0.000544490470220503,0.00234510314035247,Non-Severe,Pre-COVID: pct_black < mean cutoff (0.379)
lag_severe_4,0.00418883874136762,0.00115621646984446,3.6228845122152,0.00029145790091704,-4,pre_lo_black,severe,distributed_lag,0.00192265446047248,0.00645502302226276,Severe,Pre-COVID: pct_black < mean cutoff (0.379)
lag_severe_3,0.00356755696704627,0.0011093846598199,3.21579799708555,0.00130117331439291,-3,pre_lo_black,severe,distributed_lag,0.00139316303379926,0.00574195090029327,Severe,Pre-COVID: pct_black < mean cutoff (0.379)
lag_severe_2,0.00888695978106803,0.00118049965731744,7.52813414724973,5.1833586938737e-14,-2,pre_lo_black,severe,distributed_lag,0.00657318045272585,0.0112007391094102,Severe,Pre-COVID: pct_black < mean cutoff (0.379)
lag_severe_1,0.0235777834984795,0.00132352978556532,17.814320278715,6.77749116187065e-71,-1,pre_lo_black,severe,distributed_lag,0.0209836651187715,0.0261719018781876,Severe,Pre-COVID: pct_black < mean cutoff (0.379)
filed_severe,0.0666296048449221,0.00167826230436356,39.7015440742977,0,0,pre_lo_black,severe,distributed_lag,0.0633402107283696,0.0699189989614747,Severe,Pre-COVID: pct_black < mean cutoff (0.379)
lead_severe_1,0.0164601962667128,0.00125284376344558,13.1382673139098,2.11794175892821e-39,1,pre_lo_black,severe,distributed_lag,0.0140046224903595,0.0189157700430662,Severe,Pre-COVID: pct_black < mean cutoff (0.379)
lead_severe_2,0.00228594833337005,0.00108138587415663,2.11390622718542,0.034525366217851,2,pre_lo_black,severe,distributed_lag,0.000166432020023056,0.00440546464671704,Severe,Pre-COVID: pct_black < mean cutoff (0.379)
lead_severe_3,0.00174381401753695,0.00109711732564466,1.5894508060132,0.111961326824586,3,pre_lo_black,severe,distributed_lag,-0.000406535940726583,0.00389416397580048,Severe,Pre-COVID: pct_black < mean cutoff (0.379)
lead_severe_4,0.00271455715927172,0.00110340696322358,2.46015953292627,0.0138889470814124,4,pre_lo_black,severe,distributed_lag,0.000551879511353499,0.00487723480718994,Severe,Pre-COVID: pct_black < mean cutoff (0.379)
