market_id,market_group,hhi_units_start,total_units_start,hhi_units_end,total_units_end,total_units_plot,log_hhi_units_start,log_hhi_units_end
19132__2-4,2-4,34.9855729866996,1379,38.4167436134195,1425,1425,3.55493577613147,3.64849339615899
19132__5-49,5-49,360.483409288635,942,376.40242845448,999,999,5.88744593427524,5.93065885948234
19132__50+,50+,3351.72013354623,166,1805.10204081633,420,420,8.11722896573748,7.49837240147731
19133__1,1,465.073757723397,2819,462.499414944481,2823,2823,6.14219601176872,6.13664529196677
19133__2-4,2-4,105.881479867006,1223,96.9358826591321,1312,1312,4.66232035409355,4.57404975643014
19133__5-49,5-49,453.92,500,436.027055891777,530,530,6.11792097106054,6.07770429622137
19133__50+,50+,4554.57899305556,384,4554.57899305556,384,384,8.42388837799221,8.42388837799221
19134__1,1,3.87267699536497,9342,3.5827491301678,9368,9368,1.35394599797519,1.27613041917262
19134__2-4,2-4,17.8233864434242,1610,19.1905677889421,1631,1631,2.88051144009495,2.95441889733292
19134__5-49,5-49,274.104308910272,1181,280.815136069907,1181,1181,5.61350872339777,5.63769657408178
19134__50+,50+,1349.95383194829,570,1349.95383194829,570,570,7.20782567229087,7.20782567229087
19135__1,1,3.79043115931053,3958,5.23562080981139,3958,3958,1.33247977497495,1.65548542560309
19135__2-4,2-4,13.7671324314701,1696,15.2047338721214,1699,1699,2.622284043521,2.72160681832054
19135__5-49,5-49,298.299057137522,599,299.692587255888,599,599,5.69809653072966,5.70275724013581
19135__50+,50+,5000.12375931289,201,5000.12375931289,201,201,8.51721794297249,8.51721794297249
19136__1,1,4.28973353358672,3021,4.59653439933493,3021,3021,1.45622461762776,1.52530262810416
19136__2-4,2-4,16.1344083599839,1490,16.6388901400839,1490,1490,2.78095415671784,2.81174273485636
19136__5-49,5-49,494.323003275384,1575,492.508944318468,1575,1575,6.2031891563035,6.19951262149996
19136__50+,50+,2094.00729607132,587,2094.00729607132,587,587,7.64683487569916,7.64683487569916
19137__1,1,18.2073092702023,652,18.5366404456323,652,652,2.90182312171262,2.91974933798077
19137__2-4,2-4,106.238185255198,230,107.750472589792,230,230,4.66568360402348,4.67981811495839
19137__5-49,5-49,1326.7587113741,195,1205.15902366864,208,208,7.1904941876364,7.09436680706699
19137__50+,50+,5010.22701446933,199,5010.22701446933,199,199,8.51923650532167,8.51923650532167
19138__1,1,7.69480367120478,3158,8.47491277417595,3158,3158,2.04054525315182,2.13711036108092
19138__2-4,2-4,25.8372055760296,948,26.7027568523256,951,951,3.25181552972398,3.28476681297208
19138__5-49,5-49,685.887530233808,488,643.34055990197,515,515,6.53071366418811,6.46667422617598
19138__50+,50+,5000.43671936414,107,5000.43671936414,107,107,8.51728053147481,8.51728053147481
19139__1,1,60.0220215395834,5368,61.7019535826376,5381,5381,4.09471152054438,4.12231559301362
19139__2-4,2-4,11.9254619400254,3498,15.952534127561,3599,3599,2.47867577313319,2.76961769608176
19139__5-49,5-49,266.484510814644,1733,275.619070832797,1874,1874,5.58531612114625,5.61901973425199
19139__50+,50+,797.138027324219,1071,1585.18637674413,1569,1569,6.68102784738942,7.36845726724966
19140__1,1,6.44484114561364,6216,6.47303883210157,6217,6217,1.86327998839362,1.86764567863414
19140__2-4,2-4,11.0228099173555,2750,12.2694884078142,2782,2782,2.39996675464811,2.50711556329891
19140__5-49,5-49,226.513312285174,1042,240.76486975067,1126,1126,5.42280371708195,5.48382081305198
19140__50+,50+,1494.18362441916,790,1494.18362441916,790,790,7.30933526605129,7.30933526605129
19141__1,1,7.44434002858889,2039,7.95728487271679,2042,2042,2.00745401594593,2.07408784527732
19141__2-4,2-4,18.7626428164782,2207,18.926885230891,2207,2207,2.93186780873491,2.9405834102613
19141__5-49,5-49,256.476554699845,1193,254.743533026281,1214,1214,5.5470372557542,5.54025728621155
19141__50+,50+,1274.38367712917,906,1274.38367712917,906,906,7.15021795023476,7.15021795023476
19142__1,1,18.0076505637785,4226,20.6024096655374,4226,4226,2.89079669891697,3.02540804300982
19142__2-4,2-4,34.5745017266171,974,32.9540274589017,978,978,3.54311646606931,3.49511348288432
19142__5-49,5-49,857.663762781538,341,857.663762781538,341,341,6.75421213781102,6.75421213781102
19142__50+,50+,5038.47337642352,114,5038.47337642352,114,114,8.52485841367822,8.52485841367822
19143__1,1,28.5656799966659,7522,30.5805819249187,7535,7535,3.35220599713257,3.4203652299117
19143__2-4,2-4,11.548142167523,4004,13.0608082822738,4043,4043,2.44652457273313,2.56961601184695
19143__5-49,5-49,150.766555495463,2064,144.915087756214,2206,2206,5.01573265044285,4.97614796920766
19143__50+,50+,992.887807480763,727,992.887807480763,727,727,6.90061767425901,6.90061767425901
19144__1,1,9.1648482443957,3550,13.8220075321956,3551,3551,2.21537532298717,2.62626207061158
19144__2-4,2-4,21.2754848983217,2712,22.5035093507219,2724,2724,3.05755546613022,3.11367126819134
19144__5-49,5-49,123.158746839888,2491,112.318214518056,2695,2695,4.81347414794679,4.72133604376632
19144__50+,50+,666.822401483113,3274,655.62735836695,3338,3338,6.50252374581789,6.48559257627195
19145__1,1,3.26053362953606,5248,3.8930179334763,5304,5304,1.1818908720246,1.35918467521321
19145__2-4,2-4,12.6610861115144,1992,12.5211187922375,2032,2032,2.53853320383514,2.5274167220819
19145__5-49,5-49,967.066545948392,564,849.027575889399,614,614,6.87426730999182,6.74409166621897
19145__50+,50+,2640.73697681752,1067,2341.88509716002,1181,1181,7.87881331506847,7.75871148110952
