market_id,market_group,hhi_units_start,total_units_start,hhi_units_end,total_units_end,total_units_plot,log_hhi_units_start,log_hhi_units_end
19150__high,High-filing (>5%),116.354820795421,1224,116.354820795421,1224,1224,4.7566443224561,4.7566443224561
19150__low,Lower-filing (<=5%),22.0003625527912,1634,22.2625391579487,1634,1634,3.09105893289486,3.10290540753389
19151__high,High-filing (>5%),96.1631585743799,2112,97.7414414026628,2112,2112,4.56604631731878,4.58232563904924
19151__low,Lower-filing (<=5%),348.415279547311,3893,240.940856040895,3901,3901,5.85339510035225,5.48455149275385
19152__high,High-filing (>5%),270.265440781411,2035,270.299247203424,2035,2035,5.59940459006353,5.59952966823755
19152__low,Lower-filing (<=5%),67.7781937511524,4007,67.7479164023626,4009,4009,4.21624051712439,4.21579370507822
19153__high,High-filing (>5%),2188.33605690015,941,2054.08379678626,974,974,7.690896742653,7.62758518653377
19153__low,Lower-filing (<=5%),406.309118565179,1166,402.004754605797,1173,1173,6.00711424567854,5.99646391592668
19154__high,High-filing (>5%),1022.85860331276,991,1022.87896823174,991,991,6.9303565387181,6.93037644832847
19154__low,Lower-filing (<=5%),154.41425958975,1845,154.696278670103,1845,1845,5.03963898818212,5.04146370215138
19193__high,High-filing (>5%),10000,3,10000,3,3,9.21034037197618,9.21034037197618
91134__high,High-filing (>5%),10000,1,10000,1,1,9.21034037197618,9.21034037197618
